day,interval,detid,flow,occ,error,city,speed
2008-05-23,39060,38,180.0,0.0166666666666667,,toulouse,
2008-06-27,49680,38,180.0,0.0166666666666667,,toulouse,
2008-06-13,19260,38,60.0,0.05,,toulouse,
2008-05-30,19980,38,0.0,0.0,,toulouse,
2008-06-06,73440,38,380.0,0.0444444444444444,,toulouse,
2008-05-30,10260,38,100.0,0.0055555555555555,,toulouse,
2008-05-16,52740,38,260.0,0.294444444444444,,toulouse,
2008-05-30,55980,38,120.0,0.0222222222222222,,toulouse,
2008-06-13,35280,38,300.0,0.0444444444444444,,toulouse,
2008-05-16,71460,38,340.0,0.05,,toulouse,
2008-06-13,31140,38,300.0,0.0277777777777778,,toulouse,
2008-05-16,84060,38,260.0,0.0444444444444444,,toulouse,
2008-05-23,71460,38,200.0,0.0222222222222222,,toulouse,
2008-06-13,51120,38,200.0,0.0222222222222222,,toulouse,
2008-05-23,48600,38,140.0,0.0111111111111111,,toulouse,
2008-06-06,12240,38,140.0,0.0166666666666667,,toulouse,
2008-05-23,39600,38,140.0,0.0111111111111111,,toulouse,
2008-06-27,60660,38,320.0,0.105555555555556,,toulouse,
2008-05-23,27180,38,240.0,0.0277777777777778,,toulouse,
2008-05-16,19080,38,0.0,0.0,,toulouse,
2008-05-30,39240,38,300.0,0.0444444444444444,,toulouse,
2008-05-30,57600,38,240.0,0.0277777777777778,,toulouse,
2008-06-27,55080,38,160.0,0.0333333333333333,,toulouse,
2008-06-06,74700,38,280.0,0.0277777777777778,,toulouse,
2008-05-23,86040,38,100.0,0.0111111111111111,,toulouse,
2008-06-06,720,38,300.0,0.0388888888888889,,toulouse,
2008-06-27,81900,38,280.0,0.0277777777777778,,toulouse,
2008-05-16,25380,38,40.0,0.0055555555555555,,toulouse,
2008-05-30,18540,38,80.0,0.0055555555555555,,toulouse,
2008-06-13,17640,38,0.0,0.0,,toulouse,
2008-05-23,3780,38,140.0,0.0166666666666667,,toulouse,
2008-05-16,30960,38,480.0,0.0611111111111111,,toulouse,
2008-06-13,52380,38,220.0,0.0333333333333333,,toulouse,
2008-06-13,54540,38,220.0,0.0222222222222222,,toulouse,
2008-05-16,55260,38,140.0,0.0166666666666667,,toulouse,
2008-06-13,32940,38,460.0,0.05,,toulouse,
2008-05-16,65880,38,260.0,0.05,,toulouse,
2008-06-13,44640,38,220.0,0.0222222222222222,,toulouse,
2008-06-20,74160,38,280.0,0.0388888888888889,,toulouse,
