hour,value,site,season,case,var
23,0.36046642,FR-Cap,Winter,traffic,TSA_U
0,0.026602177,FR-Cap,Winter,traffic,TBUILD
1,0.0,FR-Cap,Winter,traffic,TBUILD
2,0.0,FR-Cap,Winter,traffic,TBUILD
3,0.0,FR-Cap,Winter,traffic,TBUILD
4,0.0,FR-Cap,Winter,traffic,TBUILD
5,0.0,FR-Cap,Winter,traffic,TBUILD
6,0.0,FR-Cap,Winter,traffic,TBUILD
7,0.0,FR-Cap,Winter,traffic,TBUILD
8,0.0,FR-Cap,Winter,traffic,TBUILD
9,0.0,FR-Cap,Winter,traffic,TBUILD
10,0.0,FR-Cap,Winter,traffic,TBUILD
11,0.0,FR-Cap,Winter,traffic,TBUILD
12,0.0,FR-Cap,Winter,traffic,TBUILD
13,0.1547763,FR-Cap,Winter,traffic,TBUILD
14,0.32648125,FR-Cap,Winter,traffic,TBUILD
15,0.4993954,FR-Cap,Winter,traffic,TBUILD
16,0.8004837,FR-Cap,Winter,traffic,TBUILD
17,1.0,FR-Cap,Winter,traffic,TBUILD
18,0.95526,FR-Cap,Winter,traffic,TBUILD
19,0.68440145,FR-Cap,Winter,traffic,TBUILD
20,0.46432889,FR-Cap,Winter,traffic,TBUILD
21,0.356711,FR-Cap,Winter,traffic,TBUILD
22,0.20193471,FR-Cap,Winter,traffic,TBUILD
23,0.095525995,FR-Cap,Winter,traffic,TBUILD
0,0.09436977,UK-MCR,Summer,cntl,TG_U
1,0.06372922,UK-MCR,Summer,cntl,TG_U
2,0.039140902,UK-MCR,Summer,cntl,TG_U
3,0.01810091,UK-MCR,Summer,cntl,TG_U
4,0.0,UK-MCR,Summer,cntl,TG_U
5,0.031756375,UK-MCR,Summer,cntl,TG_U
6,0.15185037,UK-MCR,Summer,cntl,TG_U
7,0.3325984,UK-MCR,Summer,cntl,TG_U
8,0.524951,UK-MCR,Summer,cntl,TG_U
9,0.69468576,UK-MCR,Summer,cntl,TG_U
10,0.8304169,UK-MCR,Summer,cntl,TG_U
11,0.9237088,UK-MCR,Summer,cntl,TG_U
12,0.9926579,UK-MCR,Summer,cntl,TG_U
13,1.0,UK-MCR,Summer,cntl,TG_U
14,0.9915688,UK-MCR,Summer,cntl,TG_U
15,0.9380963,UK-MCR,Summer,cntl,TG_U
16,0.8459336,UK-MCR,Summer,cntl,TG_U
17,0.7199882,UK-MCR,Summer,cntl,TG_U
18,0.5747435,UK-MCR,Summer,cntl,TG_U
19,0.42504,UK-MCR,Summer,cntl,TG_U
20,0.313549,UK-MCR,Summer,cntl,TG_U
21,0.23714402,UK-MCR,Summer,cntl,TG_U
22,0.1800294,UK-MCR,Summer,cntl,TG_U
23,0.13407974,UK-MCR,Summer,cntl,TG_U
0,0.2104108,UK-MCR,Summer,cntl,TSA_U
1,0.15427175,UK-MCR,Summer,cntl,TSA_U
2,0.10370449,UK-MCR,Summer,cntl,TSA_U
3,0.06276925,UK-MCR,Summer,cntl,TSA_U
4,0.027048266,UK-MCR,Summer,cntl,TSA_U
5,0.0,UK-MCR,Summer,cntl,TSA_U
6,0.03687853,UK-MCR,Summer,cntl,TSA_U
7,0.19379812,UK-MCR,Summer,cntl,TSA_U
8,0.40681782,UK-MCR,Summer,cntl,TSA_U
9,0.59778404,UK-MCR,Summer,cntl,TSA_U
10,0.73220414,UK-MCR,Summer,cntl,TSA_U
11,0.8389494,UK-MCR,Summer,cntl,TSA_U
12,0.9179065,UK-MCR,Summer,cntl,TSA_U
13,0.97047025,UK-MCR,Summer,cntl,TSA_U
14,0.991614,UK-MCR,Summer,cntl,TSA_U
